split_type,fold_id,seed,dbp_id,protein_cluster,combined_component,model,n_units,spearman,ndcg_1pct,ndcg_5pct,pairwise_accuracy,top1pct_recovery,training_proteins,test_proteins,runtime_seconds,training_pair_count,development_exposed,status
combined_component_loco,combined_component_loco_fold_1,17,DBP1,protein_cluster_1,combined_component_1,M0,8192,0.2078493787444956,0.6621572204394258,0.6865941754588256,0.564725,0.06097560975609756,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,1.633735000010347,2560,True,complete
combined_component_loco,combined_component_loco_fold_1,17,DBP3,protein_cluster_1,combined_component_1,M0,8192,0.19980716099245652,0.6137191457415535,0.6631286343108175,0.569375,0.07317073170731707,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,1.633735000010347,2560,True,complete
combined_component_loco,combined_component_loco_fold_1,17,DBP1,protein_cluster_1,combined_component_1,M1,8192,0.39612346873330706,0.7677796729819772,0.7450896120202528,0.631975,0.012195121951219513,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,2.437434999999823,2560,True,complete
combined_component_loco,combined_component_loco_fold_1,17,DBP3,protein_cluster_1,combined_component_1,M1,8192,0.04795340145953572,0.4096723457437438,0.45514045385711255,0.520575,0.0,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,2.437434999999823,2560,True,complete
combined_component_loco,combined_component_loco_fold_1,17,DBP1,protein_cluster_1,combined_component_1,M1c,8192,0.37531123798264315,0.7703371107428979,0.7453313744771279,0.623875,0.036585365853658534,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,1.8822202000010293,2560,True,complete
combined_component_loco,combined_component_loco_fold_1,17,DBP3,protein_cluster_1,combined_component_1,M1c,8192,0.10596122492231666,0.5082322611554176,0.5168044179575204,0.538875,0.0,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,1.8822202000010293,2560,True,complete
combined_component_loco,combined_component_loco_fold_1,17,DBP1,protein_cluster_1,combined_component_1,M2,8192,-0.21977861797065623,0.41864696766403553,0.40817255772778865,0.431675,0.024390243902439025,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,1.400607300005504,2560,True,complete
combined_component_loco,combined_component_loco_fold_1,17,DBP3,protein_cluster_1,combined_component_1,M2,8192,0.09732293569545625,0.4670574195686039,0.4924722054890437,0.537325,0.036585365853658534,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,1.400607300005504,2560,True,complete
combined_component_loco,combined_component_loco_fold_1,17,DBP1,protein_cluster_1,combined_component_1,M3,8192,0.10325066951644782,0.6901030358242636,0.6206502882629205,0.528375,0.13414634146341464,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,1.8489793000044301,2560,True,complete
combined_component_loco,combined_component_loco_fold_1,17,DBP3,protein_cluster_1,combined_component_1,M3,8192,0.09333875859618547,0.697061862946803,0.6038972031818994,0.524525,0.14634146341463414,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,1.8489793000044301,2560,True,complete
combined_component_loco,combined_component_loco_fold_1,29,DBP1,protein_cluster_1,combined_component_1,M0,8192,0.22935088122240668,0.8354499001314372,0.7398709609460735,0.577825,0.18292682926829268,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,0.9992720000009285,2560,True,complete
combined_component_loco,combined_component_loco_fold_1,29,DBP3,protein_cluster_1,combined_component_1,M0,8192,0.25860131683276727,0.8308857337909263,0.746840675010038,0.585875,0.2073170731707317,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,0.9992720000009285,2560,True,complete
combined_component_loco,combined_component_loco_fold_1,29,DBP1,protein_cluster_1,combined_component_1,M1,8192,0.4416211842145303,0.8217648474549025,0.7877432955527599,0.649175,0.06097560975609756,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,1.3237727000087034,2560,True,complete
combined_component_loco,combined_component_loco_fold_1,29,DBP3,protein_cluster_1,combined_component_1,M1,8192,0.09817622619401561,0.4913949364491499,0.49544259980363897,0.531825,0.06097560975609756,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,1.3237727000087034,2560,True,complete
combined_component_loco,combined_component_loco_fold_1,29,DBP1,protein_cluster_1,combined_component_1,M1c,8192,0.45490111124703636,0.8409223341073238,0.7916788822298232,0.657675,0.024390243902439025,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,1.379314499994507,2560,True,complete
combined_component_loco,combined_component_loco_fold_1,29,DBP3,protein_cluster_1,combined_component_1,M1c,8192,0.2067980861393878,0.8721119340426968,0.7613038344257649,0.568725,0.2073170731707317,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,1.379314499994507,2560,True,complete
combined_component_loco,combined_component_loco_fold_1,29,DBP1,protein_cluster_1,combined_component_1,M2,8192,0.29608955826677175,0.7984789352885314,0.6960805640623855,0.601125,0.18292682926829268,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,1.4509126999910222,2560,True,complete
combined_component_loco,combined_component_loco_fold_1,29,DBP3,protein_cluster_1,combined_component_1,M2,8192,0.19287018963987662,0.8355352019873742,0.7245982947432508,0.558775,0.21951219512195122,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,1.4509126999910222,2560,True,complete
combined_component_loco,combined_component_loco_fold_1,29,DBP1,protein_cluster_1,combined_component_1,M3,8192,-0.1913604263786133,0.503214075688965,0.4432896396382994,0.434775,0.0975609756097561,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,1.9039328999933787,2560,True,complete
combined_component_loco,combined_component_loco_fold_1,29,DBP3,protein_cluster_1,combined_component_1,M3,8192,0.10388970280455063,0.6187752175586319,0.5624893585922816,0.535175,0.12195121951219512,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,1.9039328999933787,2560,True,complete
combined_component_loco,combined_component_loco_fold_1,43,DBP1,protein_cluster_1,combined_component_1,M0,8192,0.22970651168388811,0.6172555352633771,0.6487514790539864,0.576575,0.04878048780487805,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,1.049018799996702,2560,True,complete
combined_component_loco,combined_component_loco_fold_1,43,DBP3,protein_cluster_1,combined_component_1,M0,8192,0.21250487914096858,0.6142568429385458,0.6753079370888083,0.569025,0.04878048780487805,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,1.049018799996702,2560,True,complete
combined_component_loco,combined_component_loco_fold_1,43,DBP1,protein_cluster_1,combined_component_1,M1,8192,0.33012543099078107,0.7118323633959573,0.693898586281168,0.609225,0.024390243902439025,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,1.4480086999974446,2560,True,complete
combined_component_loco,combined_component_loco_fold_1,43,DBP3,protein_cluster_1,combined_component_1,M1,8192,0.1284582655657631,0.5679473459665104,0.5333751379573237,0.545375,0.012195121951219513,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,1.4480086999974446,2560,True,complete
combined_component_loco,combined_component_loco_fold_1,43,DBP1,protein_cluster_1,combined_component_1,M1c,8192,0.2771282551308014,0.7327355812608987,0.6948819748987511,0.595325,0.024390243902439025,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,1.495561000003363,2560,True,complete
